Country,Confirmed,Deaths
Algeria,5,0.0
Antigua and Barbuda,2,0.0
Argentina,2485,60.0
Australia,5298,10.0
Austria,19,0.0
Bahamas,7,0.0
Bahrain,15,0.0
Bangladesh,18,0.0
Barbados,12,0.0
Belgium,54,0.0
Bermuda,1,0.0
Bolivia,416,0.0
Bosnia and Herzegovina,1,0.0
Brazil,737,1.0
British Virgin Islands,2,0.0
Brunei,124,0.0
Bulgaria,10,0.0
Cambodia,7,0.0
Canada,7983,25.0
Cape Verde,3,0.0
Cayman Islands,14,0.0
Chile,7376,14.0
Colombia,118,2.0
Cook Island,1,0.0
Costa Rica,279,3.0
Croatia,1,0.0
Cuba,85,0.0
Cyprus,109,0.0
Czech Republic,15,0.0
Denmark,66,0.0
Dominica,1,0.0
Dominican Republic,108,2.0
Ecuador,204,0.0
Egypt,78,0.0
El Salvador,319,0.0
Estonia,13,0.0
Ethiopia,3,0.0
Fiji,2,0.0
Finland,47,0.0
France,310,0.0
"France, French Polynesia, FOC",1,0.0
"France, Martinique, FOC",1,0.0
"France, New Caledonia, FOC",6,0.0
French Polynesia,4,0.0
"French Polynesia, FOC",3,0.0
Germany,505,0.0
Grand Total,94512,429.0
Greece,151,0.0
Guadelo,12,0.0
Guadeloupe,2,0.0
Guatemala,286,2.0
"Guernsey, Crown Dependency",5,0.0
Guyana,2,0.0
Honduras,123,1.0
Hungary,11,0.0
Iceland,4,0.0
India,129,0.0
Indonesia,20,0.0
Iran,1,0.0
Iraq,12,0.0
Ireland,74,0.0
"Isle of Man, Crown Dependency",1,0.0
Israel,681,0.0
Italy,146,0.0
Ivory Coast,2,0.0
Jamaica,32,0.0
Japan,1790,0.0
"Jersey, Crown Dependency",11,0.0
Jordan,23,0.0
Kenya,15,0.0
Kuwait,35,0.0
Laos,5,0.0
Latvia,1,0.0
Lebanon,49,0.0
Libya,1,0.0
Lithuania,3,0.0
Luxembourg,6,0.0
Mainland China,2040,0.0
Malaysia,112,0.0
Malta,24,0.0
Martinique,3,0.0
"Martinique, FOC",2,0.0
Mauritius,7,0.0
Mexico,10262,119.0
Monaco,1,0.0
Montenegro,10,0.0
Morocco,17,0.0
Myanmar,1,0.0
Nepal,5,0.0
Netherlands,135,0.0
"Netherlands Antilles, Curaçao",8,0.0
"Netherlands Antilles, Sint Maarten",7,0.0
"Netherlands, Aruba",5,0.0
"Netherlands, Curacao, OT",1,0.0
New Zealand,1059,3.0
Nicaragua,321,0.0
North Macedonia,2,0.0
Norway,41,0.0
Oman,4,0.0
Palau,1,0.0
Panama,417,0.0
Papua New Guinea,1,0.0
Paraguay,106,1.0
Peru,916,0.0
Philippines,1709,1.0
Poland,25,0.0
Portugal,42,0.0
Puerto Rico,18,0.0
Qatar,23,0.0
Romania,41,0.0
Russia,3,0.0
Saint Lucia,1,0.0
Samoa,1,0.0
Saudi Arabia,114,0.0
Serbia,15,0.0
Singapore,1055,0.0
Slovakia,18,0.0
Slovenia,14,0.0
South Africa,18,0.0
South Korea,202,0.0
Spain,776,1.0
Sri Lanka,19,0.0
St. Martin,1,0.0
Suriname,11,0.0
Sweden,84,0.0
Switzerland,76,0.0
Syria,1,0.0
Thailand,2076,7.0
Trinidad and Tobago,65,0.0
Tunisia,5,0.0
Turkey,40,0.0
UK,7447,3.0
US,33902,170.0
Uganda,1,0.0
Ukraine,1,0.0
United Arab Emirates,8,0.0
"United Kingdom, Isle of Man, Crown Dependency",1,0.0
"United Kingdom, Jersey, Crown Dependency",1,0.0
Uruguay,195,4.0
Vanuatu,2,0.0
Venezuela,206,0.0
Vietnam,181,0.0
Virgin Islands,1,0.0
West Bank and Gaza,60,0.0
Yemen,8,0.0
